Time	Time Iteration	FSI Iteration	q1	qdot1	qddot1	q2	qdot2	qddot2	
0.0	0	2	1.993732750903328e-06	0.00373824890794374	6.728848034298732	-1.7988852998407132e-06	-0.0033729099372013373	-6.0712378869624075	
0.001	1	2	1.2464582330494187e-05	0.016642243835377872	18.51699724537232	-6.189988839893281e-06	-0.005534991187837495	0.3581202697286009	
0.002	2	2	3.818847532896569e-05	0.03458206190211683	18.65688964493963	-1.4670918978542796e-05	-0.01117018916534972	-9.786916759635787	
0.003	3	2	7.562523924678271e-05	0.041097769359372434	-3.183249052934893	-2.6788425415762762e-05	-0.013346736409471913	2.8972446653522446	
0.004	4	2	0.00012100234302835959	0.049377571224736384	15.266228730215571	-4.0870698127610185e-05	-0.014809042547862056	-3.6815306388852513	
0.005	5	2	0.00018255016566740128	0.072766567801715	31.732158632704103	-5.920692517300989e-05	-0.02151555132683719	-9.784368821470785	
0.006	6	2	0.00027076112285316786	0.10336501760505389	31.33807573009554	-8.92889383176703e-05	-0.038062047824460446	-22.566482456803787	
0.007	7	2	0.00037838038958714753	0.1133085745153917	-7.21146643572922	-0.00013241531379754387	-0.04870177329784088	-2.376531250175048	
0.008	8	2	0.0005045295833747663	0.13773713446037245	45.885626832966246	-0.00019087156155032006	-0.06756057008745195	-30.025614100497027	
0.009000000000000001	9	2	0.0006545957758357962	0.16261578044556765	13.382770633847901	-0.0002669052281084919	-0.08474820429195105	-9.682158572732968	
