VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  ,    "relrms[k]"   ,    "relrms[w]"   
          1,           0,           4,      -3.314500924,     -0.8770723067,     -0.7480873747,       2.146266432,      0.4812661594,       3.846470939,      0.4716353771,     -0.8583373062,                 0,                 0,                 0,     -0.2072988358,      0.4716353771,     -0.8583373062,                 0,      -1.819917139,              -nan,     -0.3770933509,     -0.3281843541,     -0.3683100409,      -0.327520258,      -3.328138418,       -3.47425854
          1,           0,           0,      -3.372323335,     -0.9147275327,      -0.797229062,       2.092794354,     -0.8401655107,       3.087722591,      0.4481176665,     -0.8493660555,                 0,                 0,                 0,     -0.2033845738,      0.4481176665,     -0.8493660555,                 0,      -1.895408548,              -nan,                 0,                 0,                 0,                 0,                 0,                 0
          1,           0,           1,      -3.452821732,      -0.978580938,     -0.8745990869,       2.017417719,      -1.236262001,       3.074089388,      0.4236777486,     -0.8451285522,                 0,                 0,                 0,     -0.2012865747,      0.4236777486,     -0.8451285522,                 0,      -1.994743776,              -nan,    -0.08049839674,    -0.06385340529,    -0.07737002493,    -0.07537663536,     -0.3960964904,    -0.01363320305
          1,           0,           2,      -3.553468245,      -1.067574663,     -0.9820023171,       1.921924234,      -1.392558955,       3.118428949,      0.3980449103,     -0.8396880517,                 0,                 0,                 0,      -0.198702335,      0.3980449103,     -0.8396880517,                 0,      -2.109530935,              -nan,     -0.1811449097,     -0.1528471306,     -0.1847732551,       -0.17087012,      -0.552393444,                 0
          1,           0,           3,      -3.666485318,      -1.177235396,      -1.118971899,       1.812364452,      -1.499697954,       3.149398793,      0.3715717232,     -0.8325378118,                 0,                 0,                 0,      -0.195467765,      0.3715717232,     -0.8325378118,                 0,      -2.240584414,              -nan,     -0.2941619823,     -0.2625078635,     -0.3217428375,     -0.2804299028,     -0.6595324435,                 0
          1,           0,           4,      -3.777043233,      -1.297559303,      -1.280355853,       1.700753057,      -1.580777078,       3.195239157,      0.3448259406,     -0.8239482843,                 0,                 0,                 0,     -0.1917205031,      0.3448259406,     -0.8239482843,                 0,      -2.389461428,              -nan,     -0.4047198981,     -0.3828317704,     -0.4831267905,     -0.3920412977,     -0.7406115677,                 0
          2,           0,           0,       -2.58794758,     -0.1839591624,    -0.04716632404,       2.840456803,       2.732689386,       6.270840842,      0.3159808098,     -0.7961855706,                 0,                 0,                 0,     -0.1814115007,      0.3159808098,     -0.7961855706,                 0,       -2.51972761,              -nan,                 0,                 0,                 0,                 0,                 0,                 0
          2,           0,           1,      -2.928289286,     -0.4365245323,      -0.340983789,       2.512021881,       2.700524634,       6.310248821,       0.290223493,     -0.7853379421,                 0,                 0,                 0,       -0.17728143,       0.290223493,     -0.7853379421,                 0,      -2.705976467,              -nan,      -0.340341706,       -0.25256537,     -0.2938174649,     -0.3284349226,    -0.03216475148,                 0
          2,           0,           2,       -3.17411981,     -0.6382563816,      -0.579877386,       2.278554457,       2.700535917,       7.165670236,       0.265799911,     -0.7752249013,                 0,                 0,                 0,      -0.173321029,       0.265799911,     -0.7752249013,                 0,      -2.916573216,              -nan,     -0.5861722298,     -0.4542972192,      -0.532711062,     -0.5619023463,    -0.03215346876,                 0
          2,           0,           3,      -3.389637789,     -0.8417106212,     -0.8263096352,       2.081089776,        2.70053629,       6.625682167,      0.2427472777,     -0.7634956568,                 0,                 0,                 0,     -0.1688319478,      0.2427472777,     -0.7634956568,                 0,      -3.145228503,              -nan,     -0.8016902094,     -0.6577514588,     -0.7791433112,     -0.7593670271,    -0.03215309612,     -0.5399880683
