Time	Time Iteration	FSI Iteration	q1	qdot1	qddot1	q2	qdot2	qddot2	
0.0	0	2	2.2466656268135824e-06	0.004212498050275467	7.58249649049584	-6.0000997452488225e-06	-0.011250187022341542	-20.250336640214776	
0.001	1	2	1.436868742408478e-05	0.019358792429663124	21.95558233955069	-3.043928245262299e-05	-0.03682331795845333	-31.85640003685088	
0.002	2	2	4.7867028695515644e-05	0.04694323111567757	33.52483234809092	-8.558770338680851e-05	-0.07293211805282446	-40.67132648005093	
0.003	3	2	0.00011343317537421802	0.0837154737762602	40.52709591143	-0.0001798216440670397	-0.11523134908331525	-44.48304731516268	
0.004	4	2	0.00021856574356720636	0.1262595888111869	44.85795669005799	-0.00031744981695268397	-0.1599261733191484	-45.24541785588071	
0.005	5	2	0.0003682335965980349	0.17286348024992218	48.43372531553992	-0.0004998974193418667	-0.2049658087218571	-44.95124649424281	
0.006	6	2	0.0005662491032528542	0.22297614241162794	51.81338850118665	-0.0007271404080495188	-0.2495511026711472	-44.26311477716407	
0.007	7	2	0.0008159898629871533	0.2763277270232597	54.920107818552566	-0.00099853754384448	-0.2932931955293101	-43.25646215125413	
0.008	8	2	0.0011205019885605796	0.33254125772436977	57.558940938892675	-0.0013130562069944853	-0.33581544813227393	-41.83421970174055	
0.009000000000000001	9	2	0.001482381647756852	0.39109321860286084	59.6102601422038	-0.0016692720335266494	-0.3767104264144581	-40.001360901587745	
