Time	Time Iteration	FSI Iteration	q1	qdot1	qddot1	q2	qdot2	qddot2
0.082	82	1	0	0	0	0.014496633	0.488545959	-36.6274649
0.083	83	1	0	0	0	0.014966664	0.451316861	-37.81505246
0.084	84	1	0	0	0	0.015398887	0.412947698	-38.90711592
0.085	85	1	0	0	0	0.015792211	0.373535393	-39.90089662
0.086	86	1	0	0	0	0.016145643	0.333179505	-40.7938842
0.087	87	1	0	0	0	0.01645829	0.291981977	-41.58382288
0.088	88	1	0	0	0	0.016729361	0.250046877	-42.26871722
0.089	89	1	0	0	0	0.016958173	0.207480137	-42.84683711
0.09	90	1	0	0	0	0.017144147	0.164389284	-43.31672217
0.091	91	1	0	0	0	0.017286813	0.12088317	-43.67718543
0.092	92	1	0	0	0	0.017385811	0.077071694	-43.92731633
0.093	93	1	0	0	0	0.017440891	0.033065528	-44.06648302
0.094	94	1	0	0	0	0.017451914	-0.011024164	-44.09433394
0.095	95	0	0	0	0	0.017418852	-0.055086008	-44.01079876
0.096	96	1	0	0	0	0.017341789	-0.0990087	-43.81608847
0.097	97	1	0	0	0	0.017220918	-0.142681287	-43.51069494
0.098	98	1	0	0	0	0.017056546	-0.185993449	-43.09538963
0.099	99	1	0	0	0	0.016849088	-0.228835776	-42.57122161
0.1	100	1	1	0	0	0.016599068	-0.271100043	-41.939515
0.101	101	2	0.0	0.0	0.0	0.016307116342544517	-0.3126794885998958	-41.20186552920411	
0.10200000000000001	102	2	0.0	0.0	0.0	0.01597397191204879	-0.3534690783241591	-40.36013657242484	
0.10300000000000001	103	2	0.0	0.0	0.0	0.015600475842154713	-0.3933657744797142	-39.4164544078895	
0.10400000000000001	104	2	0.0	0.0	0.0	0.015187571616349798	-0.4322687945495185	-38.37320285864596	
0.10500000000000001	105	2	0.0	0.0	0.0	0.014736302266543558	-0.470079866128561	-37.23301726864931	
0.10600000000000001	106	2	0.0	0.0	0.0	0.014247807738278336	-0.5067034751684885	-35.99877784565424	
0.10700000000000001	107	2	0.0	0.0	0.0	0.01372332201112799	-0.5420471072543763	-34.67360238556039	
0.10800000000000001	108	2	0.0	0.0	0.0	0.013164169981558336	-0.5760214813041747	-33.2608383965892	
0.10900000000000001	109	2	0.0	0.0	0.0	0.012571764116123754	-0.608540775100466	-31.76405464318778	
0.11000000000000001	110	2	0.0	0.0	0.0	0.011947600883454005	-0.6395228420848387	-30.18703213101997	
0.11100000000000002	111	2	0.0	0.0	0.0	0.011293256974044685	-0.668889418867219	-28.533754555818113	
0.11200000000000002	112	2	0.0	0.0	0.0	0.010610385317400151	-0.6965663229259886	-26.80839824022181	
0.11300000000000002	113	2	0.0	0.0	0.0	0.0099007109065901	-0.7224836399994741	-25.015321584024335	
0.11400000000000002	114	2	0.0	0.0	0.0	0.009166026440767465	-0.7465759006954356	-23.159054054476798	
0.11500000000000002	115	2	0.0	0.0	0.0	0.008408187796654655	-0.7687822458724377	-21.244284744460444	
0.11600000000000002	116	2	0.0	0.0	0.0	0.007629109340438	-0.7890465803753189	-19.275850527431377	
0.11700000000000002	117	2	0.0	0.0	0.0	0.006830759091912512	-0.8073177147364254	-17.258723839058145	
0.11800000000000002	118	2	0.0	0.0	0.0	0.00601515375309317	-0.8235494944846462	-15.198000116417925	
0.11900000000000002	119	2	0.0	0.0	0.0	0.005184353613850577	-0.8377009167356139	-13.098884926480173	
0.12000000000000002	120	2	0.0	0.0	0.0	0.004340457347439882	-0.8497362337685496	-10.966680816392525	
0.12100000000000002	121	2	0.0	0.0	0.0	0.0034855967090701087	-0.8596250433281073	-8.806773918786797	
0.12200000000000003	122	2	0.0	0.0	0.0	0.0026219311509053642	-0.8673423654231103	-6.6246203459401904	
