Time	Time Iteration	FSI Iteration	q1	qdot1	qddot1	q2	qdot2	qddot2	
0.0	0	0	0.9332521134676849	17.498477127519088	314.9725882953436	0.05949773700309119	1.1155825688079595	20.080486238543273	
0.0	0	1	2.3474098595325223	12.516676036700431	-310.15323144147635	0.07876767361306142	-0.5311547436094255	-43.69761199049322	
0.0	0	2	2.25363407093961	-13.346499806954167	-279.9271620062837	0.015592024287345692	-0.8600220611623459	22.660668053538366	
0.0	0	3	0.7987274726161253	-17.413827128009697	153.75244476954668	0.00030053211558099535	0.4691865838726803	12.433049172202939	
0.0	0	4	-0.34248288765127016	-6.103141918978493	123.95833862450736	0.004618265832012483	-0.23056665704312085	-23.564759562380317	
0.0	0	5	-0.5653812570121955	1.9977154244608348	43.66935066779807	-0.024446448864896858	-0.41550188805548105	11.923192618223442	
0.0	0	6	0.21157999183453774	13.260224586056564	159.76078557881374	0.0007587204582467644	0.8367477970117941	16.550735454692575	
0.0	0	7	1.501941885667076	13.348236750363565	-114.6152660144234	0.04703640809007817	0.22935370306070357	-23.71092777122678	
0.0	0	8	1.70014265802372	-8.108171313318614	-321.96073749406423	0.019297224223886425	-0.7851090211853793	-3.317753142040003	
0.0	0	9	0.3575262261378314	-19.65969307579527	28.906651122707505	-0.011506467107243956	0.046179443463289616	19.656712340226722	
